2017-09-04 14:30:17,210 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Maven_project:Maven_project:0.0.1-SNAPSHOT @ C:\Users\IBM_ADMIN\git\MySA-IA1\pom.xml.
2017-09-04 14:30:18,579 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact jexcelapi:jxl:jar:2.6 has been relocated to net.sourceforge.jexcelapi:jxl:jar:2.6
2017-09-04 14:30:22,258 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-04 14:30:22,260 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\IBM_ADMIN\git\MySA-IA1\src\main\resources
2017-09-04 14:30:22,263 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-04 14:30:22,265 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\IBM_ADMIN\git\MySA-IA1\src\test\resources
2017-09-04 14:30:23,413 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Maven_project:Maven_project:0.0.1-SNAPSHOT @ C:\Users\IBM_ADMIN\git\MySA-IA1\pom.xml.
2017-09-04 14:30:24,561 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-04 14:30:24,569 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\IBM_ADMIN\git\MySA-IA1\src\main\resources
2017-09-04 14:30:24,571 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-04 14:30:24,573 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\IBM_ADMIN\git\MySA-IA1\src\test\resources
2017-09-04 14:30:24,598 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact jexcelapi:jxl:jar:2.6 has been relocated to net.sourceforge.jexcelapi:jxl:jar:2.6
2017-09-04 14:30:25,531 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Maven_project:Maven_project:0.0.1-SNAPSHOT @ C:\Users\IBM_ADMIN\git\MySA-IA1\pom.xml.
2017-09-04 14:30:26,380 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact jexcelapi:jxl:jar:2.6 has been relocated to net.sourceforge.jexcelapi:jxl:jar:2.6
